text,n_sid,n_eid,n_start,n_end,n_token,n_label,n_referent,p_sid,p_eid,p_start,p_end,p_token,p_label,p_referent,t_sid,t_eid,t_start,t_end,t_token,t_label,t_referent
"['basidia', '4-spored', ',', 'at', 'times', '3-spored', 'or', '2-spored', ',', 'measuring', '19-34', 'x', '10-Jun', '\xc2\xb5m', ',', 'clavate', 'or', 'slightly', 'truncate', 'at', 'the', 'apex', ',', 'with', 'sterigmata', 'up', 'to', '4', '\xc2\xb5m', 'long', '.']",0,1,21,21,apex,B_nBio,0,0,0,0,0,basidia,B_Bio,,1
"['pileipellis', 'constituted', 'by', 'cylindrical', 'hyphae', ',', '16-May', '\xc2\xb5m', 'wide', ',', 'the', 'wider', 'the', 'more', 'constricted', 'at', 'septa', ',', 'with', 'terminal', 'elements', 'very', 'long', 'and', 'with', 'apex', 'either', 'rounded', 'or', 'progressively', 'tapered', '.']",1,2,19,20,terminal elements,B_nBio,0,1,0,0,0,pileipellis,B_Bio,,1
"['pileipellis', 'constituted', 'by', 'cylindrical', 'hyphae', ',', '16-May', '\xc2\xb5m', 'wide', ',', 'the', 'wider', 'the', 'more', 'constricted', 'at', 'septa', ',', 'with', 'terminal', 'elements', 'very', 'long', 'and', 'with', 'apex', 'either', 'rounded', 'or', 'progressively', 'tapered', '.']",1,3,25,25,apex,B_nBio,0,1,0,0,0,pileipellis,B_Bio,,1
"['flowers', ':', 'hypanthium', 'disc-shaped', ';', 'sepals', 'prominently', '3-veined', ',', 'ovate', 'to', 'lanceolate', ',', '2.5', '--', '3.2', 'mm', ',', 'not', 'enlarging', 'in', 'fruit', ',', 'apex', 'green', 'to', 'purple', ',', 'acute', 'to', 'acuminate', ',', 'not', 'hooded', ',', 'stipitate-glandular', ';', 'petals', 'elliptic', ',', '0.8', '--', '1.3', 'times', 'as', 'long', 'as', 'sepals', ',', 'apex', 'rounded', ',', 'entire', '.']",2,4,23,23,apex,B_nBio,5,2,2,5,5,sepals,B_Bio,,1
"['flowers', ':', 'hypanthium', 'disc-shaped', ';', 'sepals', 'prominently', '3-veined', ',', 'ovate', 'to', 'lanceolate', ',', '2.5', '--', '3.2', 'mm', ',', 'not', 'enlarging', 'in', 'fruit', ',', 'apex', 'green', 'to', 'purple', ',', 'acute', 'to', 'acuminate', ',', 'not', 'hooded', ',', 'stipitate-glandular', ';', 'petals', 'elliptic', ',', '0.8', '--', '1.3', 'times', 'as', 'long', 'as', 'sepals', ',', 'apex', 'rounded', ',', 'entire', '.']",2,7,49,49,apex,B_nBio,37,2,5,37,37,petals,B_Bio,,1
"['myxillidae', 'with', 'smooth', 'tornotes', 'with', 'hastate\\/mucronate', 'apices', 'and', 'an', 'isotropic', 'reticulation', 'of', 'thick', 'acanthostrongyles', ',', 'echinated', 'by', 'thick', 'acanthostyles', ';', 'microscleres', 'robust', 'spatulif-erous', 'anchorate', 'isochelae', '.']",3,2,6,6,apices,B_nBio,3,3,0,0,0,myxillidae,B_Bio,,-1,3,1,3,3,tornotes,B_Bio,,1
"['diagnosis', ':', 'protibia', 'posteriorly', 'with', 'row', 'of', '6', '-', '10', 'long', ',', 'broad', ',', 'triangular', 'spines', ',', 'extending', 'along', 'entire', 'length', 'of', 'projected', 'margin', ';', 'male', 'with', 'aedeagal', 'apodemes', 'distinctly', 'broadened', 'in', 'basal', '1', '\\/', '3', ';', 'female', 'with', 'spermatheca', 'basally', 'with', 'elongate', ',', 'triangular', ',', 'acute', 'appendix', '.']",6,6,47,47,appendix,B_nBio,39,6,5,39,39,spermatheca,B_Bio,,1
"['hypostomal', 'and', 'lower', 'genal', 'areas', 'of', 'male', ',', 'at', 'least', 'in', 'ventral', 'view', ',', 'slightly', 'concave', 'to', 'deeply', 'excavated', ';', 'first', 'flagellar', 'segment', 'of', 'male', 'broader', 'than', 'long', ',', 'following', 'segments', 'often', 'convex', 'ventrally', 'and', 'thus', 'moniliform', 'and', 'each', 'with', 'glabrous', ',', 'shiny', 'area', 'or', 'band', 'mesally', '.']",7,3,30,30,segments,B_nBio,21,7,0,0,0,hypostomal,B_Bio,,-1,7,2,21,22,flagellar segment,B_Bio,,1
"['hypostomal', 'and', 'lower', 'genal', 'areas', 'of', 'male', ',', 'at', 'least', 'in', 'ventral', 'view', ',', 'slightly', 'concave', 'to', 'deeply', 'excavated', ';', 'first', 'flagellar', 'segment', 'of', 'male', 'broader', 'than', 'long', ',', 'following', 'segments', 'often', 'convex', 'ventrally', 'and', 'thus', 'moniliform', 'and', 'each', 'with', 'glabrous', ',', 'shiny', 'area', 'or', 'band', 'mesally', '.']",7,4,43,43,area,B_nBio,30,7,0,0,0,hypostomal,B_Bio,,-1,7,3,30,30,segments,B_nBio,21,1
"['hypostomal', 'and', 'lower', 'genal', 'areas', 'of', 'male', ',', 'at', 'least', 'in', 'ventral', 'view', ',', 'slightly', 'concave', 'to', 'deeply', 'excavated', ';', 'first', 'flagellar', 'segment', 'of', 'male', 'broader', 'than', 'long', ',', 'following', 'segments', 'often', 'convex', 'ventrally', 'and', 'thus', 'moniliform', 'and', 'each', 'with', 'glabrous', ',', 'shiny', 'area', 'or', 'band', 'mesally', '.']",7,5,45,45,band,B_nBio,30,7,3,30,30,segments,B_nBio,21,1
"['dorsum', 'of', 'head', 'between', 'the', 'frontal', 'carinae', 'with', 'eight', 'roughly', 'parallel', ',', 'quite', 'widely', 'separated', ',', 'strong', 'longitudinal', 'costae', ';', 'the', 'spaces', 'between', 'them', 'with', 'superficial', 'granular', 'ground-sculpture', '.', 'sides', 'of', 'head', 'between', 'frontal', 'carinae', 'and', 'eye', 'rugose', ',', 'with', 'granular', 'ground', 'sculpture', 'between', 'the', 'rugae', 'and', 'with', 'a', 'few', 'cross', 'meshes', 'above', 'and', 'in', 'front', 'of', 'the', 'eye', '.', 'sides', 'of', 'head', 'below', 'and', 'behind', 'eye', 'strongly', 'sulcate', '.', 'sides', 'of', 'pronotum', 'strongly', 'sulcate', ',', 'the', 'sulci', 'inclined', 'slightly', 'backwards', 'from', 'the', 'vertical', '.', 'remainder', 'of', 'sides', 'of', 'alitrunk', 'longitudinally', 'rugose', 'except', 'in', 'the', 'area', 'below', 'the', 'propodeal', 'margin', 'where', 'the', 'rugae', 'irregular', '.', 'promesonotal', 'dorsum', 'strongly', 'and', 'regularly', 'longitudinally', 'sulcate', '.']",9,6,29,29,sides,B_nBio,31,9,7,31,31,head,B_Bio,,1
"['dorsum', 'of', 'head', 'between', 'the', 'frontal', 'carinae', 'with', 'eight', 'roughly', 'parallel', ',', 'quite', 'widely', 'separated', ',', 'strong', 'longitudinal', 'costae', ';', 'the', 'spaces', 'between', 'them', 'with', 'superficial', 'granular', 'ground-sculpture', '.', 'sides', 'of', 'head', 'between', 'frontal', 'carinae', 'and', 'eye', 'rugose', ',', 'with', 'granular', 'ground', 'sculpture', 'between', 'the', 'rugae', 'and', 'with', 'a', 'few', 'cross', 'meshes', 'above', 'and', 'in', 'front', 'of', 'the', 'eye', '.', 'sides', 'of', 'head', 'below', 'and', 'behind', 'eye', 'strongly', 'sulcate', '.', 'sides', 'of', 'pronotum', 'strongly', 'sulcate', ',', 'the', 'sulci', 'inclined', 'slightly', 'backwards', 'from', 'the', 'vertical', '.', 'remainder', 'of', 'sides', 'of', 'alitrunk', 'longitudinally', 'rugose', 'except', 'in', 'the', 'area', 'below', 'the', 'propodeal', 'margin', 'where', 'the', 'rugae', 'irregular', '.', 'promesonotal', 'dorsum', 'strongly', 'and', 'regularly', 'longitudinally', 'sulcate', '.']",9,12,60,60,sides,B_nBio,62,9,13,62,62,head,B_Bio,,1
"['dorsum', 'of', 'head', 'between', 'the', 'frontal', 'carinae', 'with', 'eight', 'roughly', 'parallel', ',', 'quite', 'widely', 'separated', ',', 'strong', 'longitudinal', 'costae', ';', 'the', 'spaces', 'between', 'them', 'with', 'superficial', 'granular', 'ground-sculpture', '.', 'sides', 'of', 'head', 'between', 'frontal', 'carinae', 'and', 'eye', 'rugose', ',', 'with', 'granular', 'ground', 'sculpture', 'between', 'the', 'rugae', 'and', 'with', 'a', 'few', 'cross', 'meshes', 'above', 'and', 'in', 'front', 'of', 'the', 'eye', '.', 'sides', 'of', 'head', 'below', 'and', 'behind', 'eye', 'strongly', 'sulcate', '.', 'sides', 'of', 'pronotum', 'strongly', 'sulcate', ',', 'the', 'sulci', 'inclined', 'slightly', 'backwards', 'from', 'the', 'vertical', '.', 'remainder', 'of', 'sides', 'of', 'alitrunk', 'longitudinally', 'rugose', 'except', 'in', 'the', 'area', 'below', 'the', 'propodeal', 'margin', 'where', 'the', 'rugae', 'irregular', '.', 'promesonotal', 'dorsum', 'strongly', 'and', 'regularly', 'longitudinally', 'sulcate', '.']",9,15,70,70,sides,B_nBio,72,9,16,72,72,pronotum,B_Bio,,1
